Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.01   00.00,0.441,2.13,29.5232,400,0.0003,250,0,300,
2017.09.01   01.00,0.403,1.47,4.0878,400,0,250,0,300,
2017.09.01   02.00,0.18,2.086,25.8773,400,0,250,0,300,
2017.09.01   03.00,0.41,2.399,66.0908,400,0,250,0,300,
2017.09.01   04.00,0.417,3.469,400,400,0,250,0,300,
2017.09.01   05.00,0.444,0.421,0,400,0,250,0,300,
2017.09.01   06.00,0.394,1.209,1.8703,400,0,250,0,300,
2017.09.01   07.00,0.369,1.434,3.6698,400,0,250,0,300,
2017.09.01   08.00,0.29,0.771,0,400,0,250,0,300,
2017.09.01   09.00,0.053,2.074,24.9635,400,0.0002,250,0,300,
2017.09.01   10.00,0,2.437,74.0594,400,8.548,250,0.0402,300,
2017.09.01   11.00,0,2.592,117.8256,400,123.35,250,136.9689,300,
2017.09.01   12.00,0.122,1.922,15.8325,400,159.8726,250,203.114,300,
2017.09.01   13.00,0.304,1.962,17.8481,400,147.7653,250,189.5368,300,
2017.09.01   14.00,0.25,2.911,306.3856,400,172.1199,250,220.446,300,
2017.09.01   15.00,0.016,1.327,2.6634,400,235.3443,250,300.7025,300,
2017.09.01   16.00,0,1.258,2.166,400,243.6373,250,310.7906,300,
2017.09.01   17.00,0,1.444,3.7814,400,243.7851,250,310.7817,300,
2017.09.01   18.00,0,1.287,2.3626,400,239.6408,250,305.5626,300,
2017.09.01   19.00,0.277,1.717,8.5672,400,166.5633,250,212.4659,300,
2017.09.01   20.00,0.341,2.378,62.0611,400,140.9102,250,179.3806,300,
2017.09.01   21.00,0.46,1.65,7.0092,400,99.7777,250,124.7737,300,
2017.09.01   22.00,0.318,2.331,53.9102,400,87.8456,250,92.8331,300,
2017.09.01   23.00,0.563,1.748,9.4009,400,6.087,250,0.0158,300,
2017.09.02   00.00,0.409,1.404,3.3544,400,0.0002,250,0,300,
2017.09.02   01.00,0.576,2.95,344.3567,400,0,250,0,300,
2017.09.02   02.00,0.78,1.759,9.7159,400,0,250,0,300,
2017.09.02   03.00,0.734,2.148,31.1589,400,0,250,0,300,
2017.09.02   04.00,0.511,3.348,400,400,0,250,0,300,
2017.09.02   05.00,0.585,2.04,22.5461,400,0,250,0,300,
2017.09.02   06.00,0.55,2.013,20.7943,400,0,250,0,300,
2017.09.02   07.00,0.306,1.892,14.4717,400,0,250,0,300,
2017.09.02   08.00,0.403,2.107,27.5575,400,0,250,0,300,
2017.09.02   09.00,0.514,1.445,3.7928,400,0.0001,250,0,300,
2017.09.02   10.00,0.581,0.662,0,400,2.9866,250,0.016,300,
2017.09.02   11.00,0.663,1.024,1.0745,400,40.9905,250,46.0466,300,
2017.09.02   12.00,0.706,3.159,400,400,53.2834,250,67.9829,300,
2017.09.02   13.00,0.729,1.08,1.2708,400,57.3877,250,73.784,300,
2017.09.02   14.00,0.843,2.578,112.9862,400,35.9655,250,46.1388,300,
