Date&Time,Cloudfactor,Windspeed,powerProduction_WindTurbinePowerPlant@16/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@16/7_Bus0,powerProduction_WindTurbinePowerPlant@24/7_Bus0,powerProductionOptimal_WindTurbinePowerPlant@24/7_Bus0,powerProduction_SolarPowerPlant@12/5_Bus0,powerProductionOptimal_SolarPowerPlant@12/5_Bus0,powerProduction_SolarPowerPlant@20/7_Bus0,powerProductionOptimal_SolarPowerPlant@20/7_Bus0,Column1
2017.09.01   00.00,0.441,3.186,400,400,500,500,0.0003,250,0,300,
2017.09.01   01.00,0.403,1.365,2.9845,400,3.1086,500,0,250,0,300,
2017.09.01   02.00,0.18,1.463,4.0029,400,4.2151,500,0,250,0,300,
2017.09.01   03.00,0.41,2.393,64.9135,400,75.8285,500,0,250,0,300,
2017.09.01   04.00,0.417,1.358,2.9226,400,3.0417,500,0,250,0,300,
2017.09.01   05.00,0.444,2.532,98.4414,400,116.7914,500,0,250,0,300,
2017.09.01   06.00,0.394,1.959,17.6884,400,19.6859,500,0,250,0,300,
2017.09.01   07.00,0.369,1.701,8.1662,400,8.8306,500,0,250,0,300,
2017.09.01   08.00,0.29,1.134,1.494,400,1.5165,500,0,250,0,300,
2017.09.01   09.00,0.053,1.505,4.5396,400,4.8027,500,0.0002,250,0,300,
2017.09.01   10.00,0,2.372,60.9555,400,71.0384,500,8.548,250,0.0402,300,
2017.09.01   11.00,0,1.001,1.003,400,1.0031,500,123.35,250,136.9689,300,
2017.09.01   12.00,0.122,2.099,26.9049,400,30.4147,500,159.8726,250,203.114,300,
2017.09.01   13.00,0.304,1.848,12.6845,400,13.9432,500,147.7653,250,189.5368,300,
2017.09.01   14.00,0.25,1.824,11.8045,400,12.9412,500,172.1199,250,220.446,300,
2017.09.01   15.00,0.016,1.204,1.8425,400,1.8849,500,235.3443,250,300.7025,300,
2017.09.01   16.00,0,1.978,18.7244,400,20.8832,500,243.6373,250,310.7906,300,
2017.09.01   17.00,0,0.635,0,400,0,500,243.7851,250,310.7817,300,
2017.09.01   18.00,0,1.145,1.544,400,1.5692,500,239.6408,250,305.5626,300,
2017.09.01   19.00,0.277,1.379,3.1124,400,3.2468,500,166.5633,250,212.4659,300,
2017.09.01   20.00,0.341,2.703,164.3063,400,198.6886,500,140.9102,250,179.3806,300,
2017.09.01   21.00,0.46,1.644,6.8844,400,7.3972,500,99.7777,250,124.7737,300,
2017.09.01   22.00,0.318,1.278,2.2998,400,2.3722,500,87.8456,250,92.8331,300,
2017.09.01   23.00,0.563,2.345,56.2193,400,65.3217,500,6.087,250,0.0158,300,
2017.09.02   00.00,0.409,1.823,11.7692,400,12.9011,500,0.0002,250,0,300,
2017.09.02   01.00,0.576,1.269,2.2386,400,2.3068,500,0,250,0,300,
2017.09.02   02.00,0.78,1.925,15.9754,400,17.7123,500,0,250,0,300,
2017.09.02   03.00,0.734,1.011,1.0335,400,1.0348,500,0,250,0,300,
2017.09.02   04.00,0.511,3.304,400,400,500,500,0,250,0,300,
2017.09.02   05.00,0.585,1.453,3.8848,400,4.0862,500,0,250,0,300,
2017.09.02   06.00,0.55,1.824,11.8045,400,12.9412,500,0,250,0,300,
2017.09.02   07.00,0.306,0.638,0,400,0,500,0,250,0,300,
2017.09.02   08.00,0.403,1.126,1.4586,400,1.4792,500,0,250,0,300,
2017.09.02   09.00,0.514,1.402,3.3344,400,3.4873,500,0.0001,250,0,300,
2017.09.02   10.00,0.581,2.773,202.6405,400,246.9659,500,2.9866,250,0.016,300,
2017.09.02   11.00,0.663,2.709,167.2863,400,202.4277,500,40.9905,250,46.0466,300,
2017.09.02   12.00,0.706,1.679,7.6454,400,8.2471,500,53.2834,250,67.9829,300,
2017.09.02   13.00,0.729,2.519,94.6814,400,112.1677,500,57.3877,250,73.784,300,
2017.09.02   14.00,0.843,2.167,32.9839,400,37.5707,500,35.9655,250,46.1388,300,
2017.09.02   15.00,0.606,1.184,1.7354,400,1.7714,500,94.092,250,120.3806,300,
2017.09.02   16.00,0.457,2.171,33.3815,400,38.0406,500,132.1066,250,168.7191,300,
2017.09.02   17.00,0.655,2.316,51.5413,400,59.6928,500,83.9787,250,107.1848,300,
2017.09.02   18.00,0.429,2.266,44.3715,400,51.1032,500,136.5908,250,174.3935,300,
2017.09.02   19.00,0.406,1.69,7.9015,400,8.5338,500,136.5221,250,174.4259,300,
2017.09.02   20.00,0.569,1.796,10.8547,400,11.8629,500,91.8283,250,117.1595,300,
2017.09.02   21.00,0.512,1.827,11.9111,400,13.0624,500,89.563,250,112.4031,300,
2017.09.02   22.00,0.478,1.599,6.0161,400,6.4319,500,65.929,250,70.0071,300,
2017.09.02   23.00,0.501,1.777,10.2542,400,11.1828,500,5.51,250,0.0144,300,
2017.09.03   00.00,0.656,2.256,43.062,400,49.5397,500,0.0001,250,0,300,
2017.09.03   01.00,0.74,2.78,206.9347,400,252.3965,500,0,250,0,300,
2017.09.03   02.00,0.928,1.683,7.7376,400,8.3502,500,0,250,0,300,
2017.09.03   03.00,0.877,2.229,39.716,400,45.553,500,0,250,0,300,
2017.09.03   04.00,1,1.73,8.9074,400,9.6633,500,0,250,0,300,
2017.09.03   05.00,0.957,1.439,3.7252,400,3.9122,500,0,250,0,300,
2017.09.03   06.00,0.757,2.521,95.2504,400,112.8669,500,0,250,0,300,
2017.09.03   07.00,0.738,0.585,0,400,0,500,0,250,0,300,
2017.09.03   08.00,0.649,1.26,2.1791,400,2.2432,500,0,250,0,300,
2017.09.03   09.00,0.634,2.047,23.0239,400,25.8768,500,0,250,0,300,
2017.09.03   10.00,0.494,3.134,400,400,500,500,2.9763,250,0.0184,300,
2017.09.03   11.00,0.404,3.597,400,400,500,500,71.4482,250,81.2386,300,
2017.09.03   12.00,0.534,3.74,400,400,500,500,84.0519,250,107.7064,300,
2017.09.03   13.00,0.701,1.439,3.7252,400,3.9122,500,63.1514,250,81.3895,300,
2017.09.03   14.00,0.476,1.713,8.4651,400,9.1661,500,119.8168,250,153.964,300,
2017.09.03   15.00,0.494,2.676,151.5397,400,182.6993,500,120.6536,250,154.5698,300,
2017.09.03   16.00,0.428,2.179,34.1912,400,38.998,500,138.9594,250,177.6856,300,
2017.09.03   17.00,0.521,2.311,50.7751,400,58.7726,500,116.4162,250,148.7657,300,
2017.09.03   18.00,0.595,1.405,3.3645,400,3.52,500,96.7045,250,123.6334,300,
2017.09.03   19.00,0.372,1.961,17.7947,400,19.8087,500,143.9878,250,184.267,300,
2017.09.03   20.00,0.505,1.203,1.837,400,1.8791,500,105.0758,250,134.3691,300,
2017.09.03   21.00,0.659,1.746,9.3448,400,10.1558,500,62.1484,250,78.2894,300,
2017.09.03   22.00,0.608,1.42,3.5191,400,3.6879,500,48.494,250,51.7645,300,
2017.09.03   23.00,0.58,1.759,9.7159,400,10.5745,500,3.586,250,0.0097,300,
2017.09.04   00.00,0.533,1.87,13.5487,400,14.9297,500,0.0001,250,0,300,
2017.09.04   01.00,0.407,1.121,1.4369,400,1.4564,500,0,250,0,300,
2017.09.04   02.00,0.418,1.826,11.8755,400,13.0219,500,0,250,0,300,
2017.09.04   03.00,0.388,3.579,400,400,500,500,0,250,0,300,
2017.09.04   04.00,0.161,2.16,32.2994,400,36.7623,500,0,250,0,300,
2017.09.04   05.00,0.038,1.561,5.3688,400,5.7156,500,0,250,0,300,
2017.09.04   06.00,0.28,1.376,3.0845,400,3.2167,500,0,250,0,300,
2017.09.04   07.00,0.093,1.208,1.8647,400,1.9085,500,0,250,0,300,
2017.09.04   08.00,0.035,1.358,2.9226,400,3.0417,500,0,250,0,300,
2017.09.04   09.00,0.043,3.016,400,400,500,500,0.0001,250,0,300,
2017.09.04   10.00,0.184,2.39,64.3327,400,75.1249,500,3.921,250,0.0283,300,
2017.09.04   11.00,0,1.143,1.5348,400,1.5595,500,118.0869,250,135.9765,300,
2017.09.04   12.00,0.128,1.549,5.1792,400,5.5064,500,156.511,250,201.4519,300,
2017.09.04   13.00,0,1.922,15.8325,400,17.5479,500,210.6446,250,272.1429,300,
2017.09.04   14.00,0,1.946,17.0127,400,18.9066,500,228.2283,250,293.7679,300,
2017.09.04   15.00,0.221,2.619,127.752,400,153.044,500,185.4583,250,237.9142,300,
2017.09.04   16.00,0.256,1.966,18.0632,400,20.1188,500,180.4753,250,231.055,300,
